case,num_errors,error_dict,fidelity,alpha,beta,alpha_rec,beta_rec
258,2,"{0: 'X', 1: 'X'}",0.3429540683051822,0.8903995742862643,(-0.43387543464469025-0.13762523505055488j),(0.8903995742862644+0j),(0.4338754346446903+0.13762523505055488j)
259,2,"{7: 'Y', 0: 'X'}",0.0,0.2208685320385918,(-0.8234375609365776+0.5226544506592645j),0j,0j
260,3,"{8: 'Y', 1: 'Z', 3: 'Y'}",0.0,0.9787003707275223,(0.036775287367396325-0.20197317291377048j),0j,0j
261,2,"{2: 'Y', 4: 'Y'}",0.0,0.9888791548737573,(0.14127688933505084-0.046463508218549505j),0j,0j
262,1,{2: 'Z'},1.0,0.9197575638097688,(0.392452235908134+0.005221718627567153j),(0.9197575638097687+0j),(0.392452235908134+0.005221718627567154j)
263,1,{1: 'X'},0.9999999999999998,0.7965905516017718,(-0.5831598162262721-0.15927373241600593j),(0.7965905516017717+0j),(-0.583159816226272-0.1592737324160059j)
264,1,{6: 'Y'},1.0000000000000004,0.9999989271552381,(-0.0014116482962101638+0.0003910721937870897j),(0.9999989271552382+0j),(-0.0014116482962100686+0.00039107219378708974j)
265,3,"{5: 'Z', 0: 'Z', 1: 'Y'}",0.0,0.859320363895278,(-0.3991917725756144+0.31970993244318524j),0j,0j
266,2,"{7: 'Z', 1: 'Z'}",0.18711373782556087,0.7608482182229751,(-0.28426593139611794+0.5833548397625768j),(-0.2842659313961179+0.5833548397625768j),(0.7608482182229752+0j)
267,3,"{0: 'X', 2: 'Z', 5: 'Y'}",0.0,0.5943032185907119,(0.6581349673029216-0.4622359237293255j),0j,0j
268,3,"{8: 'Z', 3: 'Y', 1: 'Y'}",0.0,0.5936524984912064,(0.6119312123021332-0.5226058767805715j),0j,0j
269,2,"{7: 'Y', 6: 'Y'}",0.1639250526065306,0.8381159195939156,(-0.4247124837070411+0.34231712125840486j),(-0.8381159195939156+0j),(-0.4247124837070412+0.34231712125840486j)
270,2,"{1: 'Y', 0: 'Z'}",1.0,0.8410077997606359,(0.38634522919613073-0.37873901914004493j),0.841007799760636j,(0.378739019140045+0.38634522919613073j)
271,3,"{1: 'X', 3: 'Y', 8: 'Y'}",0.0,0.18945383950561995,(-0.8185710409591282-0.5422625688720067j),0j,0j
272,1,{8: 'Z'},1.0000000000000004,0.0075294622567080634,(0.22600040721261433-0.9740981075527543j),(0.007529462256708075+0j),(0.22600040721261438-0.9740981075527545j)
273,3,"{2: 'Z', 3: 'Z', 0: 'X'}",0.0,0.7588009840161555,(0.1798319507770239-0.6260044218181243j),0j,0j
274,2,"{2: 'Z', 3: 'X'}",0.0,0.9899160203405496,(-0.043335821047617025+0.13486392878474773j),0j,0j
275,2,"{2: 'Z', 3: 'Z'}",0.9405001040730221,0.7580362194430902,(-0.6396751377423974+0.1272666812903993j),(-0.6396751377423974+0.1272666812903993j),(0.7580362194430903+0j)
276,2,"{1: 'Z', 2: 'Y'}",1.0,0.27953050727913836,(-0.06033821769676123+0.9582390072343361j),0.2795305072791383j,(-0.958239007234336-0.06033821769676122j)
