case,num_errors,error_dict,fidelity,alpha,beta,alpha_rec,beta_rec
394,3,"{4: 'Z', 5: 'X', 6: 'Z'}",0.0,0.9027932254540444,(-0.42781593673166235+0.04402177134888163j),0j,0j
395,1,{5: 'Y'},1.0000000000000004,0.980054870127073,(-0.144779008421106-0.1361304163690368j),(0.9800548701270732+0j),(-0.144779008421106-0.1361304163690368j)
396,2,"{2: 'Y', 6: 'Y'}",0.0,0.306995727494054,(-0.35705818819238505+0.8821921976220193j),0j,0j
397,1,{5: 'Z'},1.0,0.3549644553524484,(-0.004485347933300405+0.9348690374005639j),(0.35496445535244847+0j),(-0.00448534793330041+0.9348690374005639j)
398,2,"{2: 'X', 3: 'Y'}",0.0,0.8590749331583399,(0.34089175120007154-0.3818154962579993j),0j,0j
399,1,{5: 'Z'},1.0,0.8181912847213395,(-0.5745961478977147-0.02005712908547917j),(0.8181912847213395+0j),(-0.5745961478977146-0.020057129085479165j)
400,2,"{1: 'X', 5: 'Y'}",0.0,0.11004603753774281,(0.25800183628697476+0.9598567195653687j),0j,0j
401,2,"{2: 'Z', 5: 'Y'}",0.0,0.8467413702679649,(0.19202194379574644-0.49614173879813056j),0j,0j
402,1,{0: 'Y'},1.0,0.8176969158277224,(0.535775539520439-0.21051442966555303j),(0.8176969158277225+0j),(0.5357755395204391-0.21051442966555303j)
403,3,"{7: 'Y', 0: 'Z', 4: 'X'}",0.0,0.3872096075826699,(0.8769917677202441+0.28452444384726644j),0j,0j
404,1,{0: 'X'},1.0,0.6409673504956496,(-0.561070999090986+0.5237940335452761j),(0.6409673504956496+0j),(-0.5610709990909861+0.5237940335452761j)
405,3,"{1: 'Z', 8: 'Y', 4: 'X'}",0.0,0.7654424687598438,(-0.6214909739659108+0.16687359377007271j),0j,0j
406,2,"{1: 'X', 0: 'Z'}",1.0000000000000004,0.8556410723337563,(0.344002779392612+0.3867045941098937j),-0.8556410723337564j,(0.3867045941098938-0.344002779392612j)
407,2,"{5: 'Z', 4: 'Y'}",1.0000000000000004,0.052844240205081015,(0.8664210689479244-0.4965098363177548j),0.05284424020508104j,(0.49650983631775486+0.8664210689479246j)
408,3,"{1: 'X', 6: 'Z', 7: 'Y'}",0.0,0.491675804884952,(0.5344078160336884+0.6875050465653602j),0j,0j
409,3,"{5: 'X', 0: 'X', 6: 'Z'}",0.0,0.977556178846531,(0.12460931616270025-0.1698718208663027j),0j,0j
410,1,{2: 'X'},0.9999999999999998,0.6535598196182621,(-0.7556603169049609-0.04286079368885476j),(0.6535598196182623+0j),(-0.7556603169049608-0.04286079368885477j)
411,3,"{0: 'X', 8: 'X', 1: 'Y'}",0.0,0.030387104625807435,(0.9381985080402165+0.3447610525908806j),0j,0j
412,1,{7: 'Y'},1.0,0.5487617597279381,(0.5933845743615717-0.5888593023550136j),(0.5487617597279381+0j),(0.5933845743615718-0.5888593023550136j)
413,2,"{1: 'Y', 5: 'Z'}",0.0,0.7027177506360668,(0.30635564273904536-0.6421323719475083j),0j,0j
414,2,"{0: 'Y', 1: 'Y'}",0.6180507221200553,0.32698469362249216,(0.9374498740375122+0.11945184721743582j),(-0.32698469362249216+0j),(0.9374498740375123+0.11945184721743583j)
415,2,"{7: 'Z', 3: 'Y'}",0.0,0.9761104533074476,(0.10071834472401274-0.1925206429970148j),0j,0j
416,3,"{8: 'Z', 4: 'Z', 6: 'Y'}",0.0,0.1556707923810585,(-0.38914484430833807-0.9079278024973643j),0j,0j
417,2,"{8: 'Y', 3: 'X'}",0.0,0.9166050609903359,(-0.39546877100574707+0.05864821673424142j),0j,0j
418,1,{3: 'X'},1.0,0.6566544442551736,(-0.4535439561913074-0.6025801362825252j),(0.6566544442551736+0j),(-0.4535439561913075-0.6025801362825252j)
419,2,"{8: 'Z', 5: 'Z'}",0.20496667943027358,0.971091433808019,(-0.23310495965480352-0.05141502668499056j),(-0.2331049596548036-0.05141502668499056j),(0.971091433808019+0j)
420,3,"{5: 'Y', 0: 'Y', 8: 'X'}",0.0,0.7245117939449757,(-0.24392765012557568+0.644656468158699j),0j,0j
421,2,"{3: 'Z', 4: 'Z'}",1.0,0.7864362584252412,(-0.27978531276763613+0.5506706730829446j),(0.7864362584252411+0j),(-0.27978531276763613+0.5506706730829446j)
422,2,"{2: 'Z', 7: 'X'}",0.0,0.9374628175617014,(0.22624585485001292-0.264530298552856j),0j,0j
423,3,"{5: 'X', 4: 'Z', 8: 'Z'}",0.0,0.9558534058202571,(-0.21381868560446382+0.20155851822285842j),0j,0j
424,1,{5: 'Z'},1.0,0.46545435706794636,(0.7962762109423278-0.3863889715995971j),(0.46545435706794636+0j),(0.7962762109423278-0.3863889715995971j)
425,3,"{8: 'Y', 7: 'Y', 6: 'X'}",0.9911348266813191,0.998888768992897,(-0.01503884028466484-0.044666099703769564j),(-0.9988887689928971+0j),(-0.015038840284664892-0.04466609970376957j)
426,2,"{6: 'Y', 8: 'Z'}",1.0,0.3696441988942584,(-0.8046738666460702+0.4646107344440983j),0.36964419889425837j,(-0.46461073444409823-0.8046738666460702j)
427,3,"{3: 'Y', 8: 'Y', 0: 'Y'}",0.0,0.9179205399748509,(-0.17143837180258015+0.35781387195853426j),0j,0j
428,1,{3: 'Z'},1.0,0.26666516094981413,(-0.23808909914035684-0.9339182366814255j),(0.26666516094981413+0j),(-0.23808909914035686-0.9339182366814255j)
429,3,"{7: 'Z', 5: 'Z', 0: 'X'}",0.01088041924042038,0.13163603932653675,(-0.39620323066375707-0.9086775848242458j),(-0.9086775848242458+0.39620323066375696j),-0.1316360393265367j
430,3,"{6: 'X', 4: 'Z', 2: 'Y'}",0.0,0.5929014632734186,(0.7969778507615317-0.11530030461264434j),0j,0j
431,1,{1: 'Y'},1.0,0.06015287620138405,(0.9796278598880049-0.1916008549457653j),(0.06015287620138409+0j),(0.979627859888005-0.19160085494576534j)
432,2,"{2: 'X', 6: 'Y'}",0.0,0.12384940082412602,(-0.40444090204165734-0.9061395492258549j),0j,0j
433,2,"{1: 'X', 3: 'Z'}",0.0,0.25458120241700943,(-0.13858793612621595+0.95706937853856j),0j,0j
434,3,"{0: 'X', 4: 'Z', 1: 'Z'}",0.0,0.38944693075514464,(0.27932591838084064+0.8776719885276603j),0j,0j
435,1,{3: 'X'},1.0000000000000004,0.9984972283287802,(-0.05070262297693087+0.02079733259346046j),(0.9984972283287803+0j),(-0.05070262297693086+0.020797332593460463j)
436,1,{5: 'Z'},1.0,0.9656089629155283,(-0.25538471787752004-0.04876450155407345j),(0.9656089629155284+0j),(-0.25538471787752015-0.048764501554073456j)
437,2,"{6: 'Z', 3: 'Y'}",0.0,0.9982731125346799,(0.05870780329040809+0.002046123930071962j),0j,0j
438,2,"{3: 'Z', 7: 'X'}",0.0,0.9449058146230805,(0.3258682895374859+0.03102997527239991j),0j,0j
439,3,"{0: 'Y', 3: 'Z', 2: 'X'}",0.0,0.6212147509654334,(0.7778933014128957+0.094732490729951j),0j,0j
440,2,"{6: 'X', 3: 'Y'}",0.0,0.9845494887826426,(0.04191131869859286-0.17001689769779357j),0j,0j
441,1,{7: 'X'},1.0000000000000004,0.8231063585134103,(-0.5229603616658423-0.2213783699938294j),(0.8231063585134104+0j),(-0.5229603616658423-0.2213783699938294j)
442,2,"{0: 'Z', 1: 'Y'}",1.0000000000000004,0.4347421438591893,(-0.8334074097694356-0.34122039460459574j),0.4347421438591894j,(0.34122039460459586-0.8334074097694357j)
443,3,"{8: 'Z', 0: 'X', 1: 'Y'}",0.0,0.6852743137938375,(0.629211335172299+0.36673179647404147j),0j,0j
444,2,"{4: 'Y', 8: 'X'}",0.0,0.8111764791137455,(0.06911661393562861+0.5807026893434373j),0j,0j
445,2,"{7: 'X', 3: 'X'}",0.0,0.9345607370657405,(-0.01779775345772675+0.35535822588902855j),0j,0j
446,2,"{6: 'X', 8: 'Z'}",1.0,0.021931356267735787,(0.8199150842716884+0.572064917816158j),-0.021931356267735774j,(0.5720649178161582-0.8199150842716886j)
447,3,"{4: 'X', 8: 'Z', 0: 'Y'}",0.0,0.6732935921000223,(0.6805038663083056+0.28911974470190843j),0j,0j
448,2,"{2: 'Y', 7: 'X'}",0.0,0.8132636906433648,(-0.5147014585851213-0.2714490339114918j),0j,0j
449,1,{1: 'Z'},1.0,0.10417931247083162,(-0.8938499903890947-0.4360950189288111j),(0.10417931247083159+0j),(-0.8938499903890947-0.4360950189288111j)
450,2,"{7: 'Y', 3: 'Z'}",0.0,0.5503144064153048,(0.827194814467724-0.1135904617891756j),0j,0j
451,3,"{3: 'Y', 5: 'X', 7: 'X'}",0.0,0.7458954341779059,(0.5630540375378602-0.35582320340987766j),0j,0j
452,2,"{2: 'Y', 4: 'Y'}",0.0,0.5771378157863997,(-0.2651227570418974-0.7724130147063855j),0j,0j
453,2,"{7: 'X', 5: 'Z'}",0.0,0.8488463575774273,(0.13566920346413444+0.5109341723343054j),0j,0j
454,3,"{7: 'X', 6: 'Z', 3: 'Y'}",0.0,0.0958101362773546,(-0.9835084845733235+0.15339973454605269j),0j,0j
455,3,"{8: 'Y', 7: 'Y', 5: 'Y'}",0.0,0.36201553285725196,(-0.674875978199165-0.6430296789572003j),0j,0j
456,3,"{4: 'Y', 6: 'Z', 7: 'Z'}",1.0,0.549083563143848,(-0.6119029493762298+0.569282022577498j),(0.549083563143848+0j),(-0.6119029493762298+0.569282022577498j)
457,2,"{8: 'Z', 2: 'Z'}",0.28365357081406856,0.645027353514366,(0.41284402150142013-0.6430392889464749j),(0.4128440215014202-0.643039288946475j),(0.6450273535143661+0j)
458,1,{6: 'X'},1.0,0.494586577607505,(-0.8551689604169992+0.15514562961876927j),(0.49458657760750513+0j),(-0.8551689604169992+0.1551456296187693j)
459,1,{1: 'Y'},1.0,0.49107667166529906,(0.8600275985679591+0.13855046823292022j),(0.49107667166529917+0j),(0.8600275985679592+0.13855046823292025j)
460,2,"{4: 'X', 7: 'Z'}",0.0,0.9825547627526855,(0.14124586575261905+0.12097827738816216j),0j,0j
461,1,{1: 'Z'},1.0000000000000004,0.36474576882628174,(0.8307386363792784+0.4205161615800538j),(0.3647457688262817+0j),(0.8307386363792784+0.42051616158005384j)
462,1,{0: 'X'},1.0,0.5021334150643855,(0.3222520508039592+0.8025058561957166j),(0.5021334150643855+0j),(0.32225205080395913+0.8025058561957166j)
463,2,"{3: 'Y', 2: 'Z'}",0.0,0.998800274144593,(-0.04841780669785133-0.0073299633870298146j),0j,0j
464,3,"{8: 'Z', 7: 'Y', 3: 'Z'}",0.0,0.6261052765227886,(0.7791370903921249-0.03061988056175786j),0j,0j
465,1,{6: 'Z'},1.0,0.6105768736062924,(-0.7411419052095665-0.279113879553668j),(0.6105768736062925+0j),(-0.7411419052095666-0.27911387955366807j)
466,2,"{2: 'Z', 6: 'X'}",0.0,0.9288619302946196,(0.049219896246191615+0.36714154799323284j),0j,0j
467,2,"{4: 'Z', 5: 'X'}",1.0,0.641411671923901,(-0.7167225509109255-0.27367837352542446j),-0.641411671923901j,(-0.2736783735254244+0.7167225509109255j)
468,3,"{4: 'Y', 3: 'Y', 6: 'Y'}",0.0,0.983064232021078,(0.10696415510830394-0.1488065362904966j),0j,0j
469,2,"{1: 'X', 6: 'Z'}",0.0,0.7796770460677221,(0.6179342499668211+0.10129642912291259j),0j,0j
470,3,"{7: 'Z', 0: 'Z', 4: 'X'}",0.43988863755826063,0.9289227987749908,(-0.3569946883824989+0.09827118795822233j),(0.09827118795822233+0.3569946883824989j),-0.928922798774991j
471,2,"{0: 'Y', 1: 'Z'}",1.0000000000000004,0.1303852263535133,(0.9350283362990145-0.32972974246591724j),0.13038522635351332j,(0.3297297424659173+0.9350283362990147j)
472,1,{2: 'Z'},1.0000000000000004,0.3637618786172745,(-0.025968562140237385-0.9311299208194311j),(0.36376187861727444+0j),(-0.025968562140237385-0.9311299208194311j)
473,2,"{1: 'Z', 2: 'Z'}",1.0000000000000004,0.9843490858491728,(-0.13128311765965353+0.11756538693620419j),(0.9843490858491729+0j),(-0.1312831176596536+0.1175653869362042j)
474,3,"{6: 'Y', 5: 'Y', 3: 'Y'}",0.0,0.7245813237686398,(0.2342315215741709-0.648164716369793j),0j,0j
475,1,{8: 'X'},1.0,0.8672923909708862,(0.24186346625871927+0.4350930616009876j),(0.8672923909708862+0j),(0.24186346625871924+0.43509306160098765j)
476,3,"{4: 'Y', 3: 'X', 0: 'Y'}",0.0,0.9929162626569414,(0.06718858744526832-0.0979948420503917j),0j,0j
477,3,"{4: 'X', 5: 'Z', 6: 'Y'}",0.0,0.8277418032121073,(0.5466915700915285-0.1263797230809921j),0j,0j
478,2,"{7: 'Y', 1: 'Y'}",0.0,0.9720866047715597,(-0.11223034647773027-0.2060387879822391j),0j,0j
479,1,{1: 'X'},1.0,0.8325839051371475,(-0.5488078317363413-0.0749266623534839j),(0.8325839051371475+0j),(-0.5488078317363414-0.07492666235348391j)
480,1,{4: 'Y'},1.0,0.7808519256989486,(-0.40698808809339715-0.47395249369775966j),(0.7808519256989486+0j),(-0.40698808809339726-0.47395249369775966j)
481,2,"{7: 'Y', 2: 'Y'}",0.0,0.2916219383053073,(-0.9280993181114313-0.23149147029675154j),0j,0j
482,3,"{2: 'X', 7: 'Y', 6: 'Z'}",0.0,0.639294751575675,(-0.6712216563298985+0.37518489932504423j),0j,0j
483,2,"{5: 'Y', 7: 'X'}",0.0,0.34162826770591376,(0.66189567260166+0.6672212866024678j),0j,0j
484,3,"{8: 'Z', 7: 'Z', 1: 'X'}",1.0,0.9728382679008214,(0.13802025354744107+0.18583894672115875j),(0.9728382679008215+0j),(0.13802025354744113+0.18583894672115875j)
485,1,{2: 'Y'},1.0,0.9156608976654234,(-0.352189142706514-0.19372126431086972j),(0.9156608976654234+0j),(-0.3521891427065141-0.19372126431086975j)
486,1,{4: 'Z'},1.0,0.9606128826440734,(-0.2304738395334841+0.15525688064925636j),(0.9606128826440734+0j),(-0.2304738395334841+0.15525688064925636j)
487,3,"{4: 'X', 8: 'Z', 3: 'X'}",0.0,0.5334581826118704,(0.8303401831830209-0.16111346187090508j),0j,0j
488,1,{6: 'Y'},1.0,0.21572107750464464,(0.32976412600285154+0.9190865236319214j),(0.2157210775046447+0j),(0.3297641260028516+0.9190865236319214j)
489,2,"{4: 'Y', 6: 'Y'}",0.0,0.9542560527330699,(0.24361151614745621-0.1733459403119615j),0j,0j
490,3,"{1: 'Z', 2: 'X', 3: 'Y'}",0.0,0.5648147036470106,(-0.8057683231939325-0.17810603549958023j),0j,0j
491,3,"{3: 'Y', 0: 'Z', 5: 'Y'}",0.0,0.9658471817890948,(0.246625644424439+0.07946705570419363j),0j,0j
492,1,{1: 'Z'},0.9999999999999998,0.5583401506171055,(0.7447402812538976+0.36553821918745155j),(0.5583401506171056+0j),(0.7447402812538976+0.3655382191874516j)
493,2,"{2: 'Y', 0: 'Z'}",0.9999999999999998,0.038468505205799426,(0.7584998284151271+0.6505368432313838j),0.03846850520579938j,(-0.6505368432313838+0.7584998284151271j)
494,1,{8: 'Y'},1.0,0.8918498104094088,(0.3688645755599797-0.2618068764751177j),(0.891849810409409+0j),(0.3688645755599797-0.2618068764751177j)
495,3,"{2: 'Z', 8: 'X', 1: 'Y'}",0.0,0.9860922535757325,(0.0877787905600659-0.1411274295300013j),0j,0j
496,1,{7: 'X'},1.0000000000000004,0.9331537629537365,(-0.18171844153186456-0.310165218379676j),(0.9331537629537365+0j),(-0.18171844153186467-0.310165218379676j)
497,2,"{6: 'Z', 3: 'X'}",0.0,0.9533849519754899,(-0.29442735263639425-0.06610345956315132j),0j,0j
498,3,"{6: 'Z', 2: 'Y', 4: 'Y'}",0.0,0.2447209117234911,(-0.932441837439702-0.26582681421800863j),0j,0j
499,1,{8: 'X'},1.0,0.885158137151576,(-0.38122569026931524-0.26676215120034513j),(0.8851581371515761+0j),(-0.3812256902693153-0.26676215120034513j)
500,3,"{7: 'X', 8: 'Y', 1: 'Z'}",0.0,0.34358738187085464,(0.5781007538526924-0.7400994726481571j),0j,0j
501,3,"{0: 'X', 6: 'Z', 8: 'Y'}",0.0,0.23554965443607206,(0.9632987944250796+0.1287314761596218j),0j,0j
502,3,"{1: 'Y', 4: 'Z', 7: 'Y'}",0.0,0.10317667356475424,(-0.8999842238877597-0.42353626855944576j),0j,0j
503,3,"{0: 'X', 3: 'X', 6: 'X'}",0.0,0.471291646105149,(0.8571043724377088-0.20798143921912915j),0j,0j
504,3,"{8: 'X', 0: 'Z', 2: 'X'}",0.0,0.9978454911571178,(-0.01611350209447556+0.06359819830515262j),0j,0j
505,2,"{3: 'X', 6: 'Z'}",0.0,0.7238337063078351,(0.5074298815224574+0.46752505916877607j),0j,0j
506,2,"{1: 'X', 0: 'Z'}",1.0000000000000004,0.09102636535412541,(0.9956634399704911+0.019196747551230683j),-0.09102636535412541j,(0.019196747551230683-0.9956634399704911j)
507,2,"{7: 'Z', 4: 'Z'}",0.4193500510570186,0.35078325433955315,(-0.9230378320324061-0.15796287257412092j),(-0.9230378320324062-0.15796287257412092j),(0.35078325433955315+0j)
508,2,"{2: 'Z', 4: 'Z'}",0.01593983648481465,0.9810026426666348,(0.06434899344714975+0.18301098907829944j),(0.06434899344714975+0.1830109890782994j),(0.9810026426666348+0j)
509,3,"{5: 'Y', 7: 'Z', 1: 'X'}",0.0,0.18784897076641108,(-0.9192562247944198+0.3459490675789011j),0j,0j
510,2,"{0: 'Y', 2: 'Z'}",1.0000000000000004,0.052616620607658725,(-0.23089200472188223+0.9715556460601421j),0.052616620607658725j,(-0.9715556460601421-0.23089200472188226j)
511,2,"{2: 'Y', 3: 'X'}",0.0,0.41509151960672297,(0.3340187619767649-0.8462449391270183j),0j,0j
512,1,{1: 'Z'},1.0,0.1904171844985176,(-0.7485075705581974-0.6351989551823293j),(0.19041718449851758+0j),(-0.7485075705581974-0.6351989551823293j)
513,1,{5: 'Z'},1.0,0.6051499014243135,(-0.42242597770778145-0.6747961841650919j),(0.6051499014243135+0j),(-0.42242597770778156-0.6747961841650919j)
514,2,"{0: 'Z', 5: 'X'}",0.0,0.8046993040961152,(-0.5901542891600583+0.0646292888187258j),0j,0j
515,1,{8: 'Y'},1.0,0.6151778600130225,(0.3127728836236897-0.7236914562294623j),(0.6151778600130227+0j),(0.31277288362368977-0.7236914562294624j)
516,1,{3: 'X'},1.0000000000000004,0.46082644358191643,(-0.5792267350403911+0.6724101265671802j),(0.4608264435819165+0j),(-0.5792267350403912+0.6724101265671804j)
517,2,"{8: 'X', 2: 'X'}",0.0,0.18384343574156325,(-0.9196854035992986-0.34695871446201365j),0j,0j
518,2,"{6: 'X', 0: 'X'}",0.0,0.9306270578369575,(-0.2856942694263405+0.22871830630423468j),0j,0j
519,3,"{5: 'Z', 3: 'Y', 7: 'Z'}",0.0,0.9982690702004586,(-0.0421141222549509+0.04105196935357575j),0j,0j
520,1,{3: 'Y'},1.0,0.7105197068399528,(-0.6858846912364912-0.1572384702275201j),(0.7105197068399528+0j),(-0.6858846912364912-0.1572384702275201j)
521,1,{2: 'Z'},1.0,0.9331160155596,(0.2362257935388789-0.27109385085815424j),(0.9331160155596001+0j),(0.23622579353887896-0.27109385085815424j)
522,3,"{7: 'X', 3: 'Y', 1: 'X'}",0.0,0.9728876523282984,(-0.11273071605582755+0.2019440556309405j),0j,0j
523,2,"{6: 'X', 4: 'Z'}",0.0,0.35723477519004976,(0.6762283408139996+0.644281418694393j),0j,0j
524,1,{6: 'Z'},1.0,0.4708567411301736,(0.3530497845034679-0.8084861031547341j),(0.47085674113017373+0j),(0.35304978450346797-0.8084861031547342j)
525,1,{0: 'Z'},1.0000000000000004,0.47094266058619944,(0.8795567559981203-0.06777111049742937j),(0.4709426605861995+0j),(0.8795567559981206-0.06777111049742937j)
526,1,{1: 'Y'},1.0,0.01923187026367724,(-0.8364672791595489-0.5476793095065602j),(0.01923187026367721+0j),(-0.8364672791595488-0.5476793095065601j)
527,2,"{3: 'Z', 1: 'Z'}",0.038629838620442745,0.8175620100190031,(0.12020173837292508-0.5631553088321323j),(0.12020173837292508-0.5631553088321323j),(0.8175620100190032+0j)
528,3,"{5: 'Z', 3: 'Z', 2: 'Y'}",1.0,0.48974556506870465,(0.8408100370412093-0.23062472353651828j),(0.4897455650687046+0j),(0.8408100370412093-0.23062472353651828j)
529,3,"{4: 'X', 2: 'Z', 8: 'X'}",0.0,0.12831704970645091,(-0.42611636222534166+0.8955219598638963j),0j,0j
530,3,"{0: 'Z', 5: 'X', 7: 'X'}",0.0,0.9984389076632052,(0.04456062256490074+0.03367638016376071j),0j,0j
531,3,"{3: 'X', 6: 'Y', 1: 'Y'}",0.0,0.9946037693079053,(0.05108316741504269-0.09029868263354598j),0j,0j
532,1,{6: 'Y'},1.0,0.24690310475799013,(-0.5602440856517801+0.7906740297702118j),(0.24690310475799013+0j),(-0.5602440856517801+0.7906740297702118j)
533,3,"{3: 'X', 6: 'Z', 8: 'X'}",0.0,0.8664812315881096,(-0.3911734413259516-0.31015095374150464j),0j,0j
534,2,"{1: 'Y', 4: 'X'}",0.0,0.13364815717842335,(-0.8542257811339898-0.5024305772231985j),0j,0j
535,2,"{2: 'X', 0: 'Y'}",0.7412197799130711,0.9646090444981067,(0.17923378334247095-0.19340279775947844j),(-0.9646090444981067+0j),(0.1792337833424711-0.19340279775947844j)
536,3,"{0: 'X', 5: 'X', 7: 'X'}",0.0,0.8629073979003801,(-0.488980474393222-0.1276280467255322j),0j,0j
537,2,"{2: 'Z', 5: 'Z'}",0.0012511060182901334,0.9919472952982935,(-0.0178290606916438+0.1253901429349765j),(-0.017829060691643733+0.1253901429349765j),(0.9919472952982935+0j)
538,2,"{1: 'Y', 8: 'Z'}",0.0,0.8474573947771701,(-0.3519262700814082+0.39744668128452065j),0j,0j
539,3,"{2: 'Y', 8: 'Y', 4: 'Y'}",0.0,0.977173066541416,(0.17470733965920823-0.1208724265299882j),0j,0j
540,3,"{1: 'Z', 6: 'Z', 0: 'Y'}",0.0,0.11501650178892034,(0.92739428225587-0.35596495551579127j),0j,0j
541,2,"{0: 'X', 3: 'Y'}",0.0,0.9685217356140836,(-0.21747217724071627+0.12112596653593997j),0j,0j
542,2,"{5: 'X', 6: 'X'}",0.0,0.8099518631847897,(-0.5209732365130868-0.2693786668624058j),0j,0j
543,2,"{1: 'Y', 7: 'Y'}",0.0,0.82122290503326,(-0.2739492181455931+0.5005444696789203j),0j,0j
544,2,"{0: 'Y', 8: 'Y'}",0.0,0.9970442841993228,(0.013317619144174845-0.07566595248717069j),0j,0j
545,3,"{1: 'Y', 4: 'Z', 2: 'X'}",0.0,0.6410074778859077,(0.36995690854974933-0.6724888840052747j),0j,0j
546,1,{2: 'Y'},1.0,0.9430184994516303,(0.2131759752707822-0.2554840763322566j),(0.9430184994516304+0j),(0.21317597527078225-0.2554840763322566j)
547,3,"{4: 'Z', 6: 'Z', 0: 'X'}",0.08994982787988215,0.970607441948103,(-0.15449931413089954+0.18452955201821036j),(0.1845295520182104+0.15449931413089957j),-0.9706074419481031j
548,2,"{2: 'Z', 3: 'Y'}",0.0,0.1889348314337392,(-0.20217466237225118+0.9609521504038433j),0j,0j
549,3,"{2: 'Y', 3: 'Y', 1: 'X'}",0.0,0.8861238958873984,(-0.057544688942662826+0.4598619900707508j),0j,0j
550,2,"{1: 'Y', 0: 'Z'}",1.0,0.9589776267460728,(0.03915482055017804-0.2807646904939318j),0.9589776267460728j,(0.2807646904939319+0.039154820550178035j)
551,2,"{8: 'Y', 2: 'X'}",0.0,0.38749144504787936,(0.8615808425736907-0.32791589123541337j),0j,0j
552,2,"{8: 'X', 2: 'Z'}",0.0,0.9972283639005841,(0.07431000763800265-0.003689579515910179j),0j,0j
553,3,"{7: 'X', 6: 'X', 8: 'X'}",0.08003662842427271,0.8009080645063739,(0.5073852098420674+0.31797251617423694j),(0.8009080645063739+0j),(-0.5073852098420675-0.317972516174237j)
554,2,"{7: 'Z', 3: 'Z'}",0.6602148936472528,0.6436787981303728,(0.6311658003626766+0.4327901769795391j),(0.6311658003626766+0.4327901769795391j),(0.6436787981303729+0j)
555,1,{7: 'Z'},1.0,0.5263491938700258,(0.39254659208555054-0.7542305344882256j),(0.5263491938700258+0j),(0.39254659208555054-0.7542305344882255j)
556,2,"{8: 'Y', 5: 'X'}",0.0,0.6361014377578378,(-0.18427185311661393+0.7492788833481034j),0j,0j
557,2,"{8: 'Z', 5: 'X'}",0.0,0.12371713968934099,(0.9379044458713645+0.32408227313726495j),0j,0j
558,3,"{3: 'Y', 0: 'Z', 5: 'X'}",0.0,0.9341807161841729,(0.06730285713016128+0.3503950840576147j),0j,0j
559,2,"{6: 'Y', 8: 'Y'}",0.5246059975732722,0.9285194932724219,(-0.33601174863264155+0.15794826809420653j),(-0.9285194932724219+0j),(-0.3360117486326416+0.15794826809420653j)
560,3,"{4: 'X', 7: 'Z', 3: 'Y'}",0.0,0.9763444515510874,(0.1758272990912818-0.12584225371341368j),0j,0j
561,3,"{2: 'X', 6: 'X', 7: 'Z'}",0.0,0.9339283588459919,(-0.10035632528658908-0.3430837048275603j),0j,0j
562,2,"{2: 'Y', 5: 'Y'}",0.0,0.03052172804707031,(-0.9939183832382318-0.10580487502057813j),0j,0j
563,1,{3: 'X'},1.0,0.994693257385018,(-0.016429656099880213+0.10156470899491583j),(0.994693257385018+0j),(-0.016429656099880157+0.10156470899491583j)
564,2,"{1: 'X', 4: 'X'}",0.0,0.26072237339208326,(-0.14913231130589963+0.9538256642266235j),0j,0j
565,2,"{5: 'Y', 8: 'X'}",0.0,0.49930333503520435,(-0.46839586235023356-0.7289043117967567j),0j,0j
566,1,{7: 'Z'},1.0,0.7827867482056693,(-0.5514687205882935+0.28831780563521353j),(0.7827867482056692+0j),(-0.5514687205882935+0.2883178056352136j)
567,3,"{8: 'Y', 3: 'Y', 1: 'X'}",0.0,0.9748377489772918,(0.13511147612218283+0.17730271342811238j),0j,0j
568,1,{2: 'X'},0.9999999999999998,0.42550983521985886,(-0.28295164559221275+0.8595811459006225j),(0.4255098352198589+0j),(-0.28295164559221275+0.8595811459006225j)
569,1,{5: 'Y'},0.9999999999999998,0.2312766587208195,(0.0004176640931559536-0.9728879342902957j),(0.2312766587208195+0j),(0.0004176640931559717-0.9728879342902957j)
570,3,"{8: 'Z', 3: 'X', 1: 'Z'}",0.05865651810808843,0.12515106018581348,(0.9675949900904212-0.21931061827071804j),(-0.21931061827071807-0.9675949900904213j),-0.12515106018581354j
571,2,"{2: 'Z', 0: 'X'}",1.0000000000000004,0.04786443894375945,(-0.9796109496823161+0.19511889387527215j),-0.047864438943759496j,(0.19511889387527223+0.9796109496823163j)
572,1,{5: 'Y'},1.0,0.3219210558369783,(-0.8595474889546512+0.39691932182820083j),(0.3219210558369783+0j),(-0.8595474889546514+0.39691932182820083j)
573,3,"{7: 'Y', 3: 'Z', 6: 'Z'}",0.0,0.19760324214760963,(-0.8237587851088004+0.5313891442707748j),0j,0j
574,1,{1: 'Y'},1.0,0.6809500488198212,(-0.5093872592786722+0.5261479365129601j),(0.6809500488198212+0j),(-0.5093872592786723+0.5261479365129601j)
575,3,"{5: 'Y', 7: 'Z', 3: 'X'}",0.0,0.8886609283424215,(0.14832124837985702+0.4339153854343336j),0j,0j
576,3,"{7: 'Z', 4: 'Z', 0: 'X'}",0.05416365754805151,0.14055444290731978,(0.8279029269202726+0.5429743936649858j),(0.5429743936649858-0.8279029269202727j),-0.14055444290731975j
577,2,"{6: 'Y', 8: 'Y'}",0.6606407972988358,0.3059427003072117,(-0.670085265469219+0.676302300106822j),(-0.3059427003072117+0j),(-0.670085265469219+0.6763023001068221j)
